image,name,price
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,oi-Best_seller_700x700base_gUMVzNGWt_.png,ofo-top_right,dpr-2/static/img/product/348854/good-vibes-onion-hair-fall-control-hair-oil-100-ml-11_1_display_1683802923_f03848c2.jpg","Good Vibes Onion Hairfall Control Oil | Strengthening | Hair Growth | No Parabens, No Sulphates, No Mineral Oil, No Animal Testing (100 ml)",
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,oi-Best_seller_700x700base_gUMVzNGWt_.png,ofo-top_right,dpr-2/static/img/product/275436/alps-goodness-almond-hair-oil-100-ml-21_1_display_1671519672_a1529710.jpg",Alps Goodness Almond Hair Oil (100) ml,
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,oi-Best_seller_700x700base_gUMVzNGWt_.png,ofo-top_right,dpr-2/static/img/product/275692/alps-goodness-castor-and-bringraj-hairfall-control-hair-oil-100-ml-74_1_display_1670934108_515dd4eb.jpg",Alps Goodness Castor & Bhringraj Hairfall Control Hair Oil (100 ml),
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,oi-Best_seller_700x700base_gUMVzNGWt_.png,ofo-top_right,dpr-2/static/img/product/330991/biotique-bio-bhringraj-oil-200-ml-19_1_display_1672635903_61854677.jpg",Biotique Bio Bhringraj Therapeutic Oil For Falling Hair (200 ml),
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,oi-trending_700x700base_d_gxAoHQU3.png,ofo-top_right,dpr-2/static/img/product/287208/alps-goodness-fenugreek-redensly-anti-hair-fall-hair-oil-105-ml_8_display_1675175021_52af1285.jpg","Alps Goodness Fenugreek, Biotin & Redensyl Anti-Hairfall Hair Oil (105 ml)| Anti-hairfall hair Oil | Fenugreek Hair Oil | Hair Fall Control Hair Oil",
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,oi-Best_seller_700x700base_gUMVzNGWt_.png,ofo-top_right,dpr-2/static/img/product/317964/mamaearth-onion-oil-for-hair-regrowth-and-hair-fall-control-with-redensyl-150-ml-52_9_display_1638423193_2db480ff.jpg",Mamaearth Onion Oil For Hair Regrowth & Hair Fall Control With Redensyl (150 ml),
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,dpr-2/static/img/product/355721/bajaj-almond-drops-hair-oil-500-ml-20_9_display_1681716209_ddaaf079.jpg","Bajaj Almond Drops Hair Oil enriched with 6X Vitamin E, Reduces Hair Fall, 475 ml",
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,oi-Best_seller_700x700base_gUMVzNGWt_.png,ofo-top_right,dpr-2/static/img/product/356015/mamaearth-rosemary-hair-growth-oil-with-rosemary-and-methi-dana-for-promoting-hair-growth-150-ml_1_display_1686745148_57864ef1.jpg",Mamaearth Rosemary Hair Growth Oil with Rosemary & Methi Dana for Promoting Hair Growth - 150 ml,
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,dpr-2/static/img/product/343963/dabur-amla-hair-oil-550ml-71_1_display_1690799032_290b8d74.jpg","Dabur Amla Hair Oil - 550 ml | For Strong, Long and Thick hair | Nourishes Scalp | Controls Hair Fall, Strengthens Hair & Promotes Hair Growth",
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,dpr-2/static/img/product/125087/indulekha-bhringa-hair-oil-50-ml_3_display_1685097815_05931485.jpg",Indulekha Bhringa Hair Oil (50 ml),
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,dpr-2/static/img/product/199064/mamaearth-mamaearth-s-onion-hair-oil-for-hair-regrowth-and-hair-fall-control-250-ml_9_display_1653285647_b771a842.jpg",Mamaearth Mamaearth’s Onion Hair Oil for Hair Regrowth & Hair Fall Control (250 ml),
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,oi-trending_700x700base_d_gxAoHQU3.png,ofo-top_right,dpr-2/static/img/product/340999/dabur-almond-hair-oil-500ml_1_display_1690798947_f510e30a.jpg","Dabur Almond Hair Oil - 485ml | Provides Damage Protection | Non Sticky Formula | For  Soft & Shiny Hair | With Almonds, Keratin Protein, Soya Protein & 10X Vitamin E",
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,dpr-2/static/img/product/341000/dabur-vatika-neelibhringa-21-hair-growth-oil-50ml_2_display_1686041995_c319d119.jpg","Vatika Neelibhringa 21 Hair Growth Oil - 50ml | New Hair Growth in 2 months, Clinically Proven",
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,dpr-2/static/img/product/173522/wow-skin-science-onion-black-seed-hair-oil-200-ml_1_display_1671019334_046103c5.jpg",WOW Skin Science Onion Hair Oil for Hair Fall Control - With Onion Black Seed Oil Extracts - 200 ml,
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,dpr-2/static/img/product/250837/parachute-advansed-aloe-vera-enriched-coconut-hair-oil-250-ml-14_2_display_1648099489_8b3bfe89.jpg",Parachute Advansed Aloe Vera Enriched Coconut Hair Oil (250 ml),
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,dpr-2/static/img/product/300870/mystiq-living-originals-neem-oil-200-ml_1_display_1654691206_2dbed503.jpg","Mystiq Living Originals - Neem Oil | For Hair And Skin | Cold Pressed, 100% Pure And Natural -200 ML",
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,dpr-2/static/img/product/300860/mystiq-living-originals-sweet-almond-oil-100-ml_1_display_1654690967_10ffcbbd.jpg","Mystiq Living Originals - Almond Oil | Sweet Almond Oil | Badam Oil | For Face, Hair, Skin & Baby Massage | Cold Pressed, Pure and Natural (Odourless) - 100 ML",
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,dpr-2/static/img/product/292674/sesa-ayurvedic-hair-oil-200-ml-17_7_display_1685010086_285df271.jpg","Sesa Ayurvedic Hair Oil, 18 Herbs + 5 Oils, Kshir Pak Vidhi reduces Hair Fall & supports Hair Growth (200 ml)",
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,dpr-2/static/img/product/350212/mystiq-living-originals-kalonji-oil-onion-black-seed-200-ml-15_1_display_1659941262_23b440b5.jpg",Mystiq Living Originals - Kalonji Oil (Onion Black seed )-(200 ml),
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,dpr-2/static/img/product/256504/daily-life-forever52-star-dust-sd001-2-5gm_1_display_1632238272_1c4adf2b.jpg",Daily Life Forever52 Blue Bozze SD001 (2.5gm),
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,dpr-2/static/img/product/265952/alps-goodness-lavender-argan-oil-and-vitamin-e-hair-oil-for-hair-shine-and-nourishment-100-ml_11_display_1671431560_c32fe568.jpg","Alps Goodness Lavender, Argan Oil & Vitamin E Hair Oil For Hair Shine & Nourishment (95 ml)| Lightweight Oil| Light oil for everyday use| Silicone Free, Sulphate Free, Mineral Oil Free, Vegan, Cruelty Free",
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,oi-trending_700x700base_d_gxAoHQU3.png,ofo-top_right,dpr-2/static/img/product/352215/good-vibes-amla-and-bhringraj-strengthening-hair-oil-100-ml-1-15-92-17_1_display_1682659743_2dab3e14.jpg",Good Vibes Amla & Bhringraj Strengthening Hair Oil (100 ml),
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,dpr-2/static/img/product/351705/good-vibes-amla-and-bhringraj-strengthening-hair-oil-100-ml-1-15-92_1_display_1682340912_7cd633b4.jpg",Good Vibes Amla & Bhringraj Strengthening Hair Oil (100 ml),
"https://media6.ppl-media.com/tr:h-235,w-235,c-at_max,dpr-2/static/img/product/342768/indus-valley-bio-organic-coconut-oil-175-ml-15_2_display_1683018058_69619d49.jpg",Indus Valley Bio Organic Coconut oil (175 ml),
